person_id,occupation,work_address
201101,Security Guard,Society Office
201102,Cleaner,Society Office
201103,Housemaid,Flat 101
201104,Electrician,Society Office
201105,Gardener,Society Office
201106,Housemaid,Flat 102
201107,Plumber,Society Office
201108,Security Guard,Society Office
201109,Housemaid,Flat 103
201110,Cleaner,Society Office
201111,Housemaid,Flat 201
201112,Electrician,Society Office
201113,Gardener,Society Office
201114,Housemaid,Flat 202
201115,Security Guard,Society Office
201116,Plumber,Society Office
201117,Housemaid,Flat 203
201118,Cleaner,Society Office
201119,Security Guard,Society Office
201120,Housemaid,Flat 301
201121,Gardener,Society Office
201122,Electrician,Society Office
201123,Housemaid,Flat 302
201124,Plumber,Society Office
201125,Security Guard,Society Office
201126,Housemaid,Flat 303
201127,Cleaner,Society Office
201128,Gardener,Society Office
201129,Housemaid,Flat 401
901693,Watchman,Society Office
975347,Housemaid,Flat 285
201130,Security Guard,Society Office
201131,Electrician,Society Office
201132,Housemaid,Flat 402
201133,Plumber,Society Office
201134,Cleaner,Society Office
201135,Housemaid,Flat 403
201136,Gardener,Society Office
201137,Security Guard,Society Office
201138,Housemaid,Flat 501
201139,Electrician,Society Office
201140,Cleaner,Society Office
201141,Housemaid,Flat 502
201142,Plumber,Society Office
201143,Security Guard,Society Office
201144,Housemaid,Flat 503
201145,Gardener,Society Office
201146,Cleaner,Society Office
201147,Housemaid,Flat 601
201148,Security Guard,Society Office
201149,Electrician,Society Office
201150,Housemaid,Flat 602
201151,Plumber,Society Office
201152,Gardener,Society Office
201153,Housemaid,Flat 603
201154,Security Guard,Society Office
201155,Cleaner,Society Office
201156,Housemaid,Flat 701
201157,Electrician,Society Office
201158,Gardener,Society Office
201159,Housemaid,Flat 702
201160,Security Guard,Society Office
