person_id,departure_date,departure_from,arrival_at
200101,20250822,Dubai International Airport (DXB),Singapore Changi Airport (SIN)
300202,20250823,Charles de Gaulle Airport (CDG),Tokyo Narita International Airport (NRT)
400303,20250824,Sydney Kingsford Smith Airport (SYD),Los Angeles International Airport (LAX)
500404,20250825,Toronto Pearson International Airport (YYZ),Frankfurt Airport (FRA)
100102,20250820,Amsterdam Airport Schiphol (AMS),Beijing Capital International Airport (PEK)
100104,20250819,Incheon International Airport (ICN),Hong Kong International Airport (HKG)
100106,20250818,Denver International Airport (DEN),Shanghai Pudong International Airport (PVG)
100108,20250817,Suvarnabhumi Airport (BKK),Kuala Lumpur International Airport (KUL)
100112,20250816,Adolfo Suárez Madrid–Barajas Airport (MAD),Hamad International Airport (DOH)
100114,20250815,Munich Airport (MUC),Istanbul Airport (IST)
100116,20250814,Leonardo da Vinci–Fiumicino Airport (FCO),Mexico City International Airport (MEX)
100118,20250813,Zürich Airport (ZRH),São Paulo/Guarulhos International Airport (GRU)
100121,20250812,Vienna International Airport (VIE),O'Hare International Airport (ORD)
100123,20250811,Copenhagen Airport (CPH),San Francisco International Airport (SFO)
100125,20250810,Helsinki-Vantaa Airport (HEL),Seattle–Tacoma International Airport (SEA)
100127,20250809,Oslo Airport, Gardermoen (OSL),McCarran International Airport (LAS)
100132,20250808,Stockholm Arlanda Airport (ARN),Miami International Airport (MIA)
100134,20250807,Brussels Airport (BRU),Logan International Airport (BOS)
100136,20250806,Dublin Airport (DUB),Philadelphia International Airport (PHL)
100138,20250805,Lisbon Airport (LIS),LaGuardia Airport (LGA)
100141,20250804,Athens International Airport (ATH),Newark Liberty International Airport (EWR)
100143,20250803,Prague Václav Havel Airport (PRG),Washington Dulles International Airport (IAD)
100145,20250802,Budapest Ferenc Liszt International Airport (BUD),George Bush Intercontinental Airport (IAH)
100147,20250801,Warsaw Chopin Airport (WAW),Phoenix Sky Harbor International Airport (PHX)
100152,20250731,Ben Gurion Airport (TLV),San Diego International Airport (SAN)
100154,20250730,Cairo International Airport (CAI),Tampa International Airport (TPA)
100156,20250729,O. R. Tambo International Airport (JNB),Minneapolis–Saint Paul International Airport (MSP)
100158,20250728,Jomo Kenyatta International Airport (NBO),Detroit Metropolitan Airport (DTW)
100160,20250727,Murtala Muhammed International Airport (LOS),Salt Lake City International Airport (SLC)
100161,20250726,Kotoka International Airport (ACC),Honolulu International Airport (HNL)
108408,20250821,London Heathrow Airport (LHR),John F. Kennedy International Airport (JFK)
100162,20250725,Bole International Airport (ADD),Portland International Airport (PDX)
100163,20250724,Cape Town International Airport (CPT),St. Louis Lambert International Airport (STL)
100164,20250723,King Abdulaziz International Airport (JED),Baltimore/Washington International Airport (BWI)
100165,20250722,Queen Alia International Airport (AMM),Nashville International Airport (BNA)
100166,20250721,Beirut–Rafic Hariri International Airport (BEY),Austin–Bergstrom International Airport (AUS)
100167,20250720,Kuwait International Airport (KWI),Raleigh–Durham International Airport (RDU)
100168,20250719,Muscat International Airport (MCT),Sacramento International Airport (SMF)
100169,20250718,Bahrain International Airport (BAH),Kansas City International Airport (MCI)
100170,20250717,Doha International Airport (DIA),Indianapolis International Airport (IND)
100171,20250716,King Khalid International Airport (RUH),San Antonio International Airport (SAT)
100172,20250715,Abu Dhabi International Airport (AUH),Oakland International Airport (OAK)
100173,20250714,Sharjah International Airport (SHJ),San Jose International Airport (SJC)
100174,20250713,Al Maktoum International Airport (DWC),Fort Lauderdale–Hollywood International Airport (FLL)
100175,20250712,Ras Al Khaimah International Airport (RKT),Orlando International Airport (MCO)
100176,20250711,Fujairah International Airport (FJR),Charlotte Douglas International Airport (CLT)
100177,20250710,Sir Bani Yas Airport (XSB),Hartsfield–Jackson Atlanta International Airport (ATL)
100178,20250709,Dalma Airport (ZDY),Vancouver International Airport (YVR)
100179,20250708,Al Ain International Airport (AAN),Montréal–Pierre Elliott Trudeau International Airport (YUL)
100180,20250707,Bateen Airport (AZI),Calgary International Airport (YYC)
100181,20250706,King Fahd International Airport (DMM),Edmonton International Airport (YEG)
100182,20250705,Prince Mohammad bin Abdulaziz Airport (MED),Ottawa Macdonald–Cartier International Airport (YOW)
100183,20250704,Ta'if Regional Airport (TIF),Winnipeg James Armstrong Richardson International Airport (YWG)
100184,20250703,Abha Regional Airport (AHB),Halifax Stanfield International Airport (YHZ)
100185,20250702,Jizan Regional Airport (GIZ),Québec City Jean Lesage International Airport (YQB)
100186,20250701,Najran Domestic Airport (EAM),Victoria International Airport (YYJ)
100187,20250630,Al-Baha Domestic Airport (ABT),Kelowna International Airport (YLW)
100188,20250629,Qassim Regional Airport (ELQ),Saskatoon John G. Diefenbaker International Airport (YXE)
100189,20250628,Ha'il Regional Airport (HAS),Regina International Airport (YQR)
100190,20250627,Tabuk Regional Airport (TUU),St. John's International Airport (YYT)
100191,20250626,Yanbu Airport (YNB),Thunder Bay International Airport (YQT)
100192,20250625,Gurayat Domestic Airport (URY),London International Airport (YXU)
100193,20250624,Arar Domestic Airport (RAE),Hamilton International Airport (YHM)
100194,20250623,Al Jawf Domestic Airport (AJF),Moncton International Airport (YQM)
100195,20250622,Rafha Domestic Airport (RAH),Charlottetown Airport (YYG)
100196,20250621,Turaif Domestic Airport (TUI),Fredericton International Airport (YFC)
100197,20250620,Wadi al-Dawasir Domestic Airport (WAE),Saint John Airport (YSJ)
100198,20250619,Sharurah Domestic Airport (SHW),Gander International Airport (YQX)
100199,20250618,Al Ahsa International Airport (HOF),Deer Lake Regional Airport (YDF)
100200,20250617,Bisha Domestic Airport (BHH),Sydney/J.A. Douglas McCurdy Airport (YQY)
100201,20250616,El-Sherif El-Idrissi Airport (AHU),Churchill Airport (YYQ)
100202,20250615,Mohammed V International Airport (CMN),Iqaluit Airport (YFB)
100203,20250614,Marrakesh Menara Airport (RAK),Yellowknife Airport (YZF)
100204,20250613,Agadir–Al Massira Airport (AGA),Whitehorse International Airport (YXY)
100205,20250612,Fès–Saïs Airport (FEZ),Erik Nielsen Whitehorse International Airport (YXY)
100206,20250611,Rabat–Salé Airport (RBA),Inuvik (Mike Zubko) Airport (YEV)
100207,20250610,Tangier Ibn Battouta Airport (TNG),Norman Wells Airport (YVQ)
100208,20250609,Oujda Angads Airport (OUD),Cambridge Bay Airport (YCB)
100209,20250608,Nador International Airport (NDR),Rankin Inlet Airport (YRT)
100210,20250607,Laayoune Hassan I Airport (EUN),Kugluktuk Airport (YCO)
100211,20250606,Dakhla Airport (VIL),Gjoa Haven Airport (YHK)
100212,20250605,Al Hoceima Cherif Al Idrissi Airport (AHU),Taloyoak Airport (YYH)
100213,20250604,Guelmim Airport (GLN),Kugaaruk Airport (YBB)
100214,20250603,Tan Tan Airport (TTA),Pond Inlet Airport (YIO)
100215,20250602,Zagora Airport (OZG),Clyde River Airport (YCY)
100216,20250601,Ouarzazate Airport (OZZ),Qikiqtarjuaq Airport (YVM)
100217,20250531,Errachidia Moulay Ali Cherif Airport (ERH),Pangnirtung Airport (YXP)
100218,20250530,Beni Mellal Airport (BEM),Arctic Bay Airport (YAB)
100219,20250529,Bouarfa Airport (UAR),Resolute Bay Airport (YRB)
100220,20250528,Ifrane Airport (IFR),Grise Fiord Airport (YGZ)
100221,20250527,Sidi Ifni Airport (SII),Sanikiluaq Airport (YSK)
100222,20250526,Smara Airport (SMW),Whale Cove Airport (YXN)
100223,20250525,Tarfaya Airport (TFY),Chesterfield Inlet Airport (YCS)
100224,20250524,Tit Mellil Airport (CAS),Baker Lake Airport (YBK)
100225,20250523,Ben Slimane Airport (GMD),Arviat Airport (YEK)
100226,20250522,Safi Airport (SFI),Naujaat Airport (YUT)
100227,20250521,Essaouira-Mogador Airport (ESU),Coral Harbour Airport (YZS)
100228,20250520,El Jadida Airport (JDA),Kinngait Airport (YTE)
100229,20250519,Kenitra Airport (NNA),Fort Simpson Airport (YFS)
100230,20250518,Meknes-Saiss Airport (MEK),Hay River/Merlyn Carter Airport (YHY)
100231,20250517,Sefrou Airport (SEF),Fort Smith Airport (YSM)
100232,20250516,Taza-Gare Airport (TAZ),Behchokǫ̀/Rae Lakes Airport (YSN)
100233,20250515,Taounate Airport (TTA),Whatì Airport (YLE)
100234,20250514,Larache Airport (LRH),Gamètì/Rae Lakes Airport (YRA)
100235,20250513,Ksar El Kebir Airport (KKE),Wekweètì Airport (YFJ)
100236,20250512,Asilah Airport (ASL),Lutselk'e Airport (YSG)
100237,20250511,Chefchaouen Airport (CFG),Fort Liard Airport (YJF)
100238,20250510,Tetouan-Sania Ramel Airport (TTU),Nahanni Butte Airport (YNB)
100239,20250509,Martil Airport (MRT),Sambaa K'e Airport (LAK)
100240,20250508,Fnideq Airport (FND),Trout Lake Airport (YFL)
100241,20250507,M'diq Airport (MDQ),Wrigley Airport (YWY)
100242,20250506,Cabo Negro Airport (CBN),Déline Airport (YWJ)
100243,20250505,Algeciras Heliport (AEI),Tulita Airport (ZFN)
100244,20250504,Ceuta Heliport (JCU),Fort Good Hope Airport (YGH)
100245,20250503,Gibraltar International Airport (GIB),Colville Lake/Tommy Kochon Airport (YCK)
100246,20250502,Jerez Airport (XRY),Aklavik/Freddie Carmichael Airport (LAK)
100247,20250501,Málaga–Costa del Sol Airport (AGP),Fort McPherson Airport (ZFM)
100248,20250430,Seville Airport (SVQ),Tsiigehtchic Airport (YGT)
100249,20250429,Granada Airport (GRX),Paulatuk (Nora Aliqatchialuk Ruben) Airport (YPC)
100250,20250428,Córdoba Airport (ODB),Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport (YSY)
100251,20250427,Almería Airport (LEI),Ulukhaktok/Holman Airport (YHI)
100252,20250426,Murcia–San Javier Airport (MJV),Old Crow Airport (YOC)
100253,20250425,Alicante–Elche Airport (ALC),Dawson City Airport (YDA)
100254,20250424,Valencia Airport (VLC),Mayo Airport (YMA)
100255,20250423,Ibiza Airport (IBZ),Faro Airport (YFA)
100256,20250422,Palma de Mallorca Airport (PMI),Pelly Crossing Airport (YPF)
100257,20250421,Menorca Airport (MAH),Ross River Airport (YDM)
100258,20250420,Barcelona–El Prat Airport (BCN),Carmacks Airport (YXC)
100259,20250419,Girona–Costa Brava Airport (GRO),Teslin Airport (YZW)
100260,20250418,Reus Airport (REU),Watson Lake Airport (YQH)
100261,20250417,Lleida–Alguaire Airport (ILD),Burwash Airport (YDB)
100262,20250416,Zaragoza Airport (ZAZ),Haines Junction Airport (YHT)
100263,20250415,Pamplona Airport (PNA),Beaver Creek Airport (YXQ)
100264,20250414,San Sebastián Airport (EAS),Carcross Airport (YZA)
100265,20250413,Bilbao Airport (BIO),Tagish Airport (YTG)
