phone_number,called_to,date,time,duration
9578963576,9876543210,20250826,20:05:15,125
9098765432,9578963576,20250826,18:30:45,310
9456123789,9578963576,20250826,17:15:20,88
9765432109,9578963576,20250826,16:50:10,45
9876543210,9123456780,20250826,15:00:00,1800
9578963576,9345678901,20250826,14:30:05,32
9234567812,9876543210,20250825,22:10:30,950
9123456780,9876543210,20250825,19:00:15,1200
9578963576,9098765432,20250825,17:45:00,620
9012345678,9578963576,20250824,11:00:55,180
9876543210,9578963576,20250824,09:30:00,300
9578963576,9456123789,20250823,20:10:10,450
9765432109,9234567812,20250823,18:00:00,240
9345678901,9123456780,20250822,16:45:30,600
9321876540,9578963576,20250822,14:20:00,1320
9098765432,9876543210,20250821,21:00:00,3600
9578963576,9012345678,20250821,12:00:00,95
9456123789,9765432109,20250820,19:30:00,1500
9876543210,9345678901,20250820,15:10:25,750
9234567812,9578963576,20250819,17:00:00,180
9123456780,9098765432,20250819,13:00:45,2100
9321876540,9456123789,20250818,22:30:00,300
9578963576,9876543210,20250818,10:00:00,120
9012345678,9765432109,20250817,16:00:00,900
9345678901,9234567812,20250817,11:45:10,480
9098765432,9123456780,20250816,20:00:00,2400
9456123789,9321876540,20250816,09:00:00,180
9578963576,9012345678,20250815,18:30:00,60
9876543210,9345678901,20250815,14:00:00,1500
9765432109,9098765432,20250814,21:45:00,720
9234567812,9456123789,20250814,12:30:30,1200
9123456780,9578963576,20250813,19:00:00,30
9321876540,9876543210,20250813,15:45:00,1800
9012345678,9345678901,20250812,17:30:00,360
9098765432,9234567812,20250812,13:15:00,900
9456123789,9123456780,20250811,20:30:00,2700
9765432109,9321876540,20250811,10:10:10,240
9578963576,9012345678,20250810,18:00:00,45
9876543210,9098765432,20250810,14:30:00,1600
9345678901,9456123789,20250809,22:00:00,600
9234567812,9765432109,20250809,11:00:00,1100
9123456780,9876543210,20250808,19:45:00,1900
9321876540,9578963576,20250808,15:00:00,1400
9012345678,9098765432,20250807,17:00:00,300
9456123789,9345678901,20250807,13:45:00,800
9765432109,9123456780,20250806,21:15:00,2100
9234567812,9876543210,20250806,10:30:00,150
9578963576,9321876540,20250805,18:45:00,90
9098765432,9012345678,20250805,14:00:00,1700
9345678901,9765432109,20250804,22:30:00,540
9123456780,9456123789,20250804,11:30:00,1300
9876543210,9234567812,20250803,20:00:00,200
9321876540,9098765432,20250803,15:30:00,1500
9012345678,9578963576,20250802,17:45:00,55
9456123789,9876543210,20250802,13:00:00,1900
9765432109,9345678901,20250801,21:45:00,660
9234567812,9123456780,20250801,10:00:00,1000
9578963576,9876543210,20250731,19:00:00,120
9098765432,9578963576,20250731,17:00:00,300
9456123789,9578963576,20250730,16:00:00,90
9765432109,9578963576,20250730,15:00:00,45
9876543210,9123456780,20250729,14:00:00,1800
9578963576,9345678901,20250729,13:00:00,30
9234567812,9321876540,20250728,22:00:00,900
9123456780,9876543210,20250728,19:00:00,1200
9578963576,9098765432,20250727,18:00:00,600
9012345678,9578963576,20250727,11:00:00,180
9876543210,9578963576,20250726,09:00:00,300
9578963576,9456123789,20250726,20:00:00,450
9765432109,9234567812,20250725,18:00:00,240
9345678901,9123456780,20250725,16:00:00,600
9321876540,9578963576,20250724,14:00:00,1320
9098765432,9876543210,20250724,21:00:00,3600
9578963576,9012345678,20250723,12:00:00,90
9456123789,9765432109,20250723,19:00:00,1500
9876543210,9345678901,20250722,15:00:00,750
9234567812,9578963576,20250722,17:00:00,180
9123456780,9098765432,20250721,13:00:00,2100
9321876540,9456123789,20250721,22:00:00,300
9578963576,9876543210,20250720,10:00:00,120
9012345678,9765432109,20250720,16:00:00,900
9345678901,9234567812,20250719,11:00:00,480
9098765432,9123456780,20250719,20:00:00,2400
9456123789,9321876540,20250718,09:00:00,180
9578963576,9012345678,20250718,18:00:00,60
9876543210,9345678901,20250717,14:00:00,1500
9765432109,9098765432,20250717,21:00:00,720
9234567812,9456123789,20250716,12:00:00,1200
9123456780,9578963576,20250716,19:00:00,30
9321876540,9876543210,20250715,15:00:00,1800
9012345678,9345678901,20250715,17:00:00,360
9098765432,9234567812,20250714,13:00:00,900
9456123789,9123456780,20250714,20:00:00,2700
9765432109,9321876540,20250713,10:00:00,240
9578963576,9012345678,20250713,18:00:00,45
9876543210,9098765432,20250712,14:00:00,1600
9345678901,9456123789,20250712,22:00:00,600
9234567812,9765432109,20250711,11:00:00,1100
9123456780,9876543210,20250711,19:00:00,1900
9321876540,9578963576,20250710,15:00:00,1400
9012345678,9098765432,20250710,17:00:00,300
9456123789,9345678901,20250709,13:00:00,800
9765432109,9123456780,20250709,21:00:00,2100
9234567812,9876543210,20250708,10:00:00,150
9578963576,9321876540,20250708,18:00:00,90
9098765432,9012345678,20250707,14:00:00,1700
9345678901,9765432109,20250707,22:00:00,540
9123456780,9456123789,20250706,11:00:00,1300
9876543210,9234567812,20250706,20:00:00,200
9321876540,9098765432,20250705,15:00:00,1500
9012345678,9578963576,20250705,17:00:00,55
9456123789,9876543210,20250704,13:00:00,1900
9765432109,9345678901,20250704,21:00:00,660
9234567812,9123456780,20250703,10:00:00,1000
9578963576,9876543210,20250703,19:00:00,120
9098765432,9578963576,20250702,17:00:00,300
9456123789,9578963576,20250702,16:00:00,90
9765432109,9578963576,20250701,15:00:00,45
9876543210,9123456780,20250701,14:00:00,1800
9578963576,9345678901,20250630,13:00:00,30
9234567812,9321876540,20250630,22:00:00,900
9123456780,9876543210,20250629,19:00:00,1200
9578963576,9098765432,20250629,18:00:00,600
9012345678,9578963576,20250628,11:00:00,180
9876543210,9578963576,20250628,09:00:00,300
9578963576,9456123789,20250627,20:00:00,450
9765432109,9234567812,20250627,18:00:00,240
9345678901,9123456780,20250626,16:00:00,600
9321876540,9578963576,20250626,14:00:00,1320
9098765432,9876543210,20250625,21:00:00,3600
9578963576,9012345678,20250625,12:00:00,90
9456123789,9765432109,20250624,19:00:00,1500
9876543210,9345678901,20250624,15:00:00,750
9234567812,9578963576,20250623,17:00:00,180
9123456780,9098765432,20250623,13:00:00,2100
9321876540,9456123789,20250622,22:00:00,300
9578963576,9876543210,20250622,10:00:00,120
9012345678,9765432109,20250621,16:00:00,900
9345678901,9234567812,20250621,11:00:00,480
9098765432,9123456780,20250620,20:00:00,2400
9456123789,9321876540,20250620,09:00:00,180
9578963576,9012345678,20250619,18:00:00,60
9876543210,9345678901,20250619,14:00:00,1500
9765432109,9098765432,20250618,21:00:00,720
9234567812,9456123789,20250618,12:00:00,1200
9123456780,9578963576,20250617,19:00:00,30
9321876540,9876543210,20250617,15:00:00,1800
9012345678,9345678901,20250616,17:00:00,360
9098765432,9234567812,20250616,13:00:00,900
9456123789,9123456780,20250615,20:00:00,2700
9765432109,9321876540,20250615,10:00:00,240
9578963576,9012345678,20250614,18:00:00,45
9876543210,9098765432,20250614,14:00:00,1600
9345678901,9456123789,20250613,22:00:00,600
9234567812,9765432109,20250613,11:00:00,1100
9123456780,9876543210,20250612,19:00:00,1900
9321876540,9578963576,20250612,15:00:00,1400
9012345678,9098765432,20250611,17:00:00,300
9456123789,9345678901,20250611,13:00:00,800
9765432109,9123456780,20250610,21:00:00,2100
9234567812,9876543210,20250610,10:00:00,150
9578963576,9321876540,20250609,18:00:00,90
9098765432,9012345678,20250609,14:00:00,1700
9345678901,9765432109,20250608,22:00:00,540
9123456780,9456123789,20250608,11:00:00,1300
9876543210,9234567812,20250607,20:00:00,200
9321876540,9098765432,20250607,15:00:00,1500
9012345678,9578963576,20250606,17:00:00,55
9456123789,9876543210,20250606,13:00:00,1900
9765432109,9345678901,20250605,21:00:00,660
9234567812,9123456780,20250605,10:00:00,1000
9578963576,9876543210,20250604,19:00:00,120
9098765432,9578963576,20250604,17:00:00,300
9456123789,9578963576,20250603,16:00:00,90
9765432109,9578963576,20250603,15:00:00,45
9876543210,9123456780,20250602,14:00:00,1800
9578963576,9345678901,20250602,13:00:00,30
9234567812,9321876540,20250601,22:00:00,900
